text,true_emotion,predicted_emotion
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger
Hate when guys cant control their anger 🙃🙃,anger,anger
@TrussElise Obama must be fuming.. lol,anger,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger
Literally fuming fuck sake,anger,anger
@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger,anger
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,sadness
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues",fear,sadness
"Honestly, there are some awful people on the internet... smh...",fear,anger
Not the best horror ever but I like that the uncertainty,fear,fear
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,fear,fear
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,sadness
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? ,fear,fear
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear,joy
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,fear,joy
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
"#twitter #users Tweeting on twitter is like playing a game against the computer. Where's the life, Everyone too #afraid to say something?",fear,fear
Tweeting from the sporadic wifi on the tube #perilous,fear,fear
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,anger
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear,fear
I don't want speak front to him   #nopanicattack,fear,fear
Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.,fear,anger
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,fear
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation ,fear,anger
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,joy,joy
"It's #HobbitDay! \nHobbit's give gifts on their birthdays, so I'm sharing the gift of #glee today! Find something that makes you happy!",joy,joy
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
@hesham786 that's the spirit #optimism,joy,joy
"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it.",joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,sadness
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy,joy
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",joy,joy
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,joy
Dolores.' A thin lipped smile graced glossed lips as she let blues peer over at the woman. ' A constant delight.. As always.',joy,joy
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,joy
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor",sadness,anger
My life went from happy to unhappy..,sadness,sadness
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
This world has some serious issues we should all go to therapy,sadness,sadness
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,anger
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,joy
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,sadness
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,sadness
"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,anger
Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭,sadness,sadness
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,fear
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
Should of stayed in Dubai 😞,sadness,sadness
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",sadness,sadness
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
